kabupaten,luas_panen,produktivitas,produksi,tahun
Kota Madiun,"2194,58",52.19,11453.92,2022
Kota Surabaya,"1447,98",56.06,8117.31,2022
Kota Batu,"1059,45",63.83,6762.57,2022
Kab. Pacitan,"17923,4",51.88,92992.64,2023
Kab. Ponorogo,"66594,55",59.01,392994.08,2023
Kab. Trenggalek,"22049,36",52.1,114874.53,2023
Kab. Tulungagung,"40238,66",58.53,235502.11,2023
Kab. Blitar,"36340,17",66.1,240224.41,2023
Kab. Kediri,"31268,33",58.7,183533.76,2023
Kab. Malang,"43918,59",63.61,279365.91,2023
Kab. Lumajang,"55128,79",55.99,308646.08,2023
Kab. Jember,"120187,87",51.31,616725.77,2023
Kab. Banyuwangi,"75062,48",60.59,454768.46,2023
Kab. Bondowoso,"50364,98",49.2,247778.74,2023
Kab. Situbondo,"27917,32",56.34,157273.25,2023
Kab. Probolinggo,"35121,69",57.24,201044.34,2023
Kab. Pasuruan,"48999,14",53.07,260061.94,2023
Kab. Sidoarjo,"31030,46",63.12,195855.35,2023
Kab. Mojokerto,"53462,15",56.66,302890.75,2023
Kab. Jombang,"56762,71",61.11,346873.45,2023
Kab. Nganjuk,"72039,49",58.04,418096.11,2023
Kab. Madiun,"74784,95",58.51,437593.08,2023
Kab. Magetan,44424,63.16,280592.09,2023
Kab. Ngawi,"124922,92",61.74,771251.37,2023
Kab. Bojonegoro,"132712,02",53.2,705962.63,2023
Kab. Tuban,"84115,63",59.65,501741.12,2023
Kab. Lamongan,"139704,81",57.17,798704.85,2023
Kab. Gresik,"66202,61",63.05,417428.58,2023
Kab. Bangkalan,"38011,82",49.0,186257.96,2023
Kab. Sampang,"34795,54",48.05,167191.35,2023
Kab. Pamekasan,"19884,36",54.56,108483.14,2023
Kab. Sumenep,"42432,97",51.33,217810.48,2023
Kota Kediri,"1519,69",54.43,8271.57,2023
Kota Blitar,"786,57",71.66,5636.68,2023
Kota Malang,"1632,88",63.19,10318.57,2023
Kota Probolinggo,"1309,44",57.29,7502.06,2023
Kota Pasuruan,"1374,7",58.34,8020.03,2023
Kota Mojokerto,"620,48",53.07,3292.78,2023
Kota Madiun,"2204,48",55.2,12169.62,2023
Kota Surabaya,"1506,01",53.58,8068.88,2023
Kota Batu,"727,29",66.86,4862.81,2023
Kab. Pacitan,"14602,85",47.7,69650.98,2024
Kab. Ponorogo,"63395,6",59.82,379244.91,2024
Kab. Trenggalek,"18239,46",57.49,104859.35,2024
Kab. Tulungagung,"34167,99",62.87,214820.77,2024
Kab. Blitar,"30789,76",55.59,171154.02,2024
Kab. Kediri,"30496,57",57.08,174072.2,2024
Kab. Malang,"41019,97",62.11,254793.72,2024
Kab. Lumajang,"47553,88",54.07,257120.65,2024
Kab. Jember,"120069,41",51.91,623264.88,2024
Kab. Banyuwangi,"67240,56",58.84,395631.38,2024
Kab. Bondowoso,"50609,62",51.27,259477.68,2024
Kab. Situbondo,"29935,08",54.2,162236.82,2024
Kab. Probolinggo,"33177,95",53.53,177607.38,2024
Kab. Pasuruan,51087,54.29,277354.51,2024
Kab. Sidoarjo,"32100,11",65.1,208986.7,2024
Kab. Mojokerto,"47296,06",60.41,285714.44,2024
Kab. Jombang,"55369,46",61.82,342291.32,2024
Kab. Nganjuk,"69685,57",58.11,404975.09,2024
Kab. Madiun,"73419,94",59.58,437458.25,2024
Kab. Magetan,"43404,62",62.72,272246.05,2024
Kab. Ngawi,"123075,68",62.21,765703.53,2024
Kab. Bojonegoro,"131220,56",54.15,710527.18,2024
Kab. Tuban,"84211,69",62.11,523067.49,2024
Kab. Lamongan,"130670,42",59.41,776290.66,2024
Kab. Gresik,"54057,45",60.85,328959.53,2024
Kab. Bangkalan,"39554,55",47.82,189161.9,2024
Kab. Sampang,"33068,93",44.13,145931.75,2024
Kab. Pamekasan,"19637,62",51.69,101501.42,2024
Kab. Sumenep,"36761,47",51.55,189499.69,2024
Kota Kediri,"1328,15",63.19,8392.91,2024
Kota Blitar,"574,04",64.84,3722.17,2024
Kota Malang,"1610,91",65.16,10496.65,2024
Kota Probolinggo,"1391,07",61.06,8494.14,2024
Kota Pasuruan,"1574,89",55.02,8665.29,2024
Kota Mojokerto,"571,1",60.4,3449.63,2024
Kota Madiun,"2190,08",57.58,12610.42,2024
Kota Surabaya,"1321,75",55.54,7340.42,2024
Kota Batu,"503,25",72.72,3659.41,2024
Kab. Pacitan,26774,49.49,132516.0,2025
Kab. Ponorogo,74200,58.8,436300.0,2025
Kab. Trenggalek,27943,56.55,158029.0,2025
Kab. Tulungagung,39342,61.15,240566.0,2025
Kab. Blitar,35796,64.65,231437.0,2025
Kab. Kediri,34198,57.99,198324.0,2025
Kab. Malang,38178,64.53,246370.0,2025
Kab. Lumajang,50052,55.92,279902.0,2025
Kab. Jember,135436,50.17,679514.0,2025
Kab. Banyuwangi,75650,59.97,453636.0,2025
Kab. Bondowoso,56112,49.69,278822.0,2025
Kab. Situbondo,37251,53.47,199165.0,2025
Kab. Probolinggo,36946,53.08,196116.0,2025
Kab. Pasuruan,50784,54.01,274285.0,2025
Kab. Sidoarjo,29004,60.57,175677.0,2025
Kab. Mojokerto,51751,60.37,312409.0,2025
Kab. Jombang,71349,61.9,441642.0,2025
Kab. Nganjuk,76989,56.53,435224.0,2025
Kab. Madiun,82826,57.98,480264.0,2025
Kab. Magetan,50411,61.14,308221.0,2025
Kab. Ngawi,129013,59.88,772571.0,2025
Kab. Bojonegoro,160748,54.72,879685.0,2025
Kab. Tuban,96992,59.59,577964.0,2025
Kab. Lamongan,152564,57.68,879994.0,2025
Kab. Gresik,62003,60.58,375591.0,2025
Kab. Bangkalan,46903,47.71,223789.0,2025
Kab. Sampang,42337,44.86,189903.0,2025
Kab. Pamekasan,24130,54.44,131369.0,2025
Kab. Sumenep,35770,52.96,189423.0,2025
Kota Kediri,628,59.02,3709.0,2025
Kota Blitar,837,72.5,6068.0,2025
Kota Malang,1301,63.35,8243.0,2025
Kota Probolinggo,1597,63.2,10092.0,2025
Kota Pasuruan,1355,55.12,7468.0,2025
Kota Mojokerto,524,58.93,3086.0,2025
Kota Madiun,2084,57.06,11889.0,2025
Kota Surabaya,1054,57.64,6075.0,2025
Kota Batu,513,58.99,3025.0,2025
Kab. Sambas,"67219,01",23.54,158239.67,2018
Kab. Bengkayang,"11114,09",28.18,31322.01,2018
Kab. Landak,"27969,93",37.96,106176.5,2018
Kab. Mempawah,"21478,12",31.87,68460.67,2018
Kab. Sanggau,"29112,73",25.63,74603.57,2018
Kab. Ketapang,"31518,26",29.47,92895.48,2018
Kab. Sintang,"11943,9",25.12,30006.2,2018
Kab. Kapuas Hulu,"13171,79",24.59,32388.01,2018
Kab. Sekadau,"11200,89",29.44,32975.61,2018
Kab. Melawi,"2400,98",24.02,5767.0,2018
Kab. Kayong Utara,"19463,21",26.5,51581.62,2018
Kab. Kubu Raya,"36275,07",28.59,103724.75,2018
Kota Pontianak,"286,32",32.33,925.7,2018
Kota Singkawang,"3321,73",32.06,10648.42,2018
Kab. Sambas,"67602,53",24.95,168631.79,2019
Kab. Bengkayang,"12094,26",29.97,36251.8,2019
Kab. Landak,"28685,87",35.86,102856.61,2019
Kab. Mempawah,"21641,25",31.45,68060.52,2019
Kab. Sanggau,30366,28.04,85131.76,2019
Kab. Ketapang,"32917,92",33.07,108845.74,2019
Kab. Sintang,"12506,05",28.61,35774.06,2019
Kab. Kapuas Hulu,"9418,56",26.08,24567.79,2019
Kab. Sekadau,"12318,94",27.97,34451.49,2019
Kab. Melawi,"4337,92",26.95,11691.74,2019
Kab. Kayong Utara,"15323,77",27.65,42374.83,2019
Kab. Kubu Raya,"39017,3",29.85,116454.98,2019
Kota Pontianak,"172,12",27.49,473.1,2019
Kota Singkawang,"3645,95",33.76,12308.92,2019
Kab. Sambas,"57332,56",26.2,150222.44,2020
Kab. Bengkayang,"11167,11",28.37,31685.2,2020
Kab. Landak,"26552,88",37.33,99134.79,2020
Kab. Mempawah,"20727,61",33.83,70116.03,2020
Kab. Sanggau,"25341,09",26.03,65968.8,2020
Kab. Ketapang,"30923,49",33.56,103764.57,2020
Kab. Sintang,"8507,05",26.68,22694.82,2020
Kab. Kapuas Hulu,"8045,7",29.02,23345.99,2020
Kab. Sekadau,"10106,76",29.77,30091.24,2020
Kab. Melawi,"3524,32",27.88,9825.11,2020
Kab. Kayong Utara,"15523,7",31.71,49227.48,2020
Kab. Kubu Raya,"35068,87",30.68,107589.45,2020
Kota Pontianak,"192,49",37.05,713.18,2020
Kota Singkawang,"3561,8",38.72,13791.26,2020
Kab. Sambas,"56815,88",27.16,154301.07,2021
Kab. Bengkayang,"9136,44",29.99,27399.63,2021
Kab. Landak,"26330,58",41.02,108007.15,2021
Kab. Mempawah,"14978,93",34.06,51025.45,2021
Kab. Sanggau,"18819,66",23.65,44514.16,2021
Kab. Ketapang,"27198,64",38.77,105450.58,2021
Kab. Sintang,"8852,7",26.9,23810.44,2021
Kab. Kapuas Hulu,"5027,36",30.07,15119.42,2021
Kab. Sekadau,"8257,29",31.59,26084.14,2021
Kab. Melawi,"3088,49",30.72,9486.57,2021
Kab. Kayong Utara,"12549,85",37.17,46650.03,2021
Kab. Kubu Raya,"28227,95",30.22,85295.01,2021
Kota Pontianak,"142,11",36.94,524.98,2021
Kota Singkawang,"3739,86",38.05,14229.38,2021
Kab. Sambas,"63168,71",27.95,176541.14,2022
Kab. Bengkayang,"10436,62",30.99,32340.73,2022
Kab. Landak,"29829,89",31.33,93452.27,2022
Kab. Mempawah,"15125,74",33.18,50190.35,2022
Kab. Sanggau,"26153,43",24.52,64116.98,2022
Kab. Ketapang,"27283,4",38.72,105650.43,2022
Kab. Sintang,"11240,76",27.85,31303.8,2022
Kab. Kapuas Hulu,"5542,94",27.38,15174.03,2022
Kab. Sekadau,"9889,04",29.6,29270.04,2022
Kab. Melawi,"2953,29",26.93,7952.03,2022
Kab. Kayong Utara,"12126,42",34.87,42280.23,2022
Kab. Kubu Raya,"24369,83",28.86,70329.98,2022
Kota Pontianak,"130,38",35.09,457.53,2022
Kota Singkawang,"3228,15",37.69,12166.26,2022
Kab. Sambas,"58030,79",30.57,177411.07,2023
Kab. Bengkayang,"10171,21",34.21,34799.49,2023
Kab. Landak,"30410,15",32.96,100241.01,2023
Kab. Mempawah,"15334,95",31.86,48851.99,2023
Kab. Sanggau,"25139,24",25.67,64523.83,2023
Kab. Ketapang,"23501,08",37.5,88138.69,2023
Kab. Sintang,"9100,6",26.91,24485.61,2023
Kab. Kapuas Hulu,"6117,85",29.08,17793.3,2023
Kab. Sekadau,"9522,54",28.9,27516.36,2023
Kab. Melawi,"3071,59",29.94,9196.41,2023
Kab. Kayong Utara,"10647,66",35.82,38143.8,2023
Kab. Kubu Raya,"19427,79",28.94,56228.08,2023
Kota Pontianak,"116,63",35.17,410.13,2023
Kota Singkawang,"3476,44",36.1,12551.03,2023
Kab. Sambas,"64122,36",30.45,195232.6,2024
Kab. Bengkayang,"12031,85",30.57,36780.53,2024
Kab. Landak,"31205,62",31.09,97032.69,2024
Kab. Mempawah,"17913,41",35.2,63063.54,2024
Kab. Sanggau,"25062,52",25.64,64252.13,2024
Kab. Ketapang,"29236,61",36.56,106899.75,2024
Kab. Sintang,"10727,75",28.29,30346.07,2024
Kab. Kapuas Hulu,"5321,26",27.94,14866.34,2024
Kab. Sekadau,"11437,76",31.8,36372.21,2024
Kab. Melawi,"2911,24",27.11,7891.77,2024
Kab. Kayong Utara,"10895,44",34.25,37319.59,2024
Kab. Kubu Raya,"22666,65",27.11,61456.23,2024
Kota Pontianak,"122,56",27.86,341.46,2024
Kota Singkawang,"3552,68",36.39,12929.24,2024
Kab. Sambas,68422,30.03,205501.0,2025
Kab. Bengkayang,16274,28.32,46087.0,2025
Kab. Landak,43741,27.89,121995.0,2025
Kab. Mempawah,12548,33.77,42370.0,2025
Kab. Sanggau,35930,22.76,81786.0,2025
Kab. Ketapang,22718,36.53,82996.0,2025
Kab. Sintang,10235,22.12,22642.0,2025
Kab. Kapuas Hulu,5373,22.25,11955.0,2025
Kab. Sekadau,12074,27.04,32646.0,2025
Kab. Melawi,4560,21.75,9917.0,2025
Kab. Kayong Utara,8187,34.33,28108.0,2025
Kab. Kubu Raya,19296,30.11,58102.0,2025
Kota Pontianak,171,33.01,566.0,2025
Kota Singkawang,4023,32.71,13158.0,2025
Kab. Tanah Laut,"26663,84",34.45,91856.74,2018
Kab. Kotabaru,"9629,56",41.75,40204.92,2018
Kab. Banjar,"57442,23",33.56,192786.24,2018
Kab. Barito Kuala,"78874,26",36.6,288711.72,2018
Kab. Tapin,"36681,94",41.8,153342.35,2018
Kab. Hulu Sungai Selatan,"26984,78",50.91,137370.36,2018
Kab. Hulu Sungai Tengah,"27803,16",52.26,145296.04,2018
Kab. Hulu Sungai Utara,"19786,74",50.77,100464.57,2018
Kab. Tabalong,"14960,94",45.94,68724.35,2018
Kab. Tanah Bumbu,"14948,97",50.06,74833.26,2018
Kab. Balangan,"5454,04",35.3,19255.36,2018
Kota Banjarmasin,"2522,84",37.73,9518.26,2018
Kota Banjarbaru,"1337,91",38.33,5128.24,2018
Kab. Tanah Laut,"28453,79",41.38,117728.21,2019
Kab. Kotabaru,"6340,93",31.81,20172.26,2019
Kab. Banjar,"77013,61",31.84,245195.57,2019
Kab. Barito Kuala,"88342,77",32.21,284558.93,2019
Kab. Tapin,"40374,98",40.04,161647.51,2019
Kab. Hulu Sungai Selatan,"30964,51",40.37,124999.04,2019
Kab. Hulu Sungai Tengah,"29240,03",46.05,134652.55,2019
Kab. Hulu Sungai Utara,"18285,41",52.66,96295.76,2019
Kab. Tabalong,"13936,89",40.62,56610.73,2019
Kab. Tanah Bumbu,"11991,54",46.03,55192.69,2019
Kab. Balangan,"5061,63",39.36,19923.66,2019
Kota Banjarmasin,"4572,46",43.25,19773.56,2019
Kota Banjarbaru,"1667,4",36.65,6111.35,2019
Kab. Tanah Laut,"24728,88",39.23,97018.84,2020
Kab. Kotabaru,"7152,37",32.38,23162.39,2020
Kab. Banjar,"50734,72",37.6,190762.02,2020
Kab. Barito Kuala,"66448,45",35.7,237193.34,2020
Kab. Tapin,"31097,66",39.51,122859.81,2020
Kab. Hulu Sungai Selatan,"25862,43",43.78,113217.0,2020
Kab. Hulu Sungai Tengah,"29921,83",43.98,131585.88,2020
Kab. Hulu Sungai Utara,"17291,53",54.46,94175.17,2020
Kab. Tabalong,"15909,05",37.13,59067.28,2020
Kab. Tanah Bumbu,"12683,14",41.44,52553.08,2020
Kab. Balangan,"4606,5",35.0,16123.59,2020
Kota Banjarmasin,"2376,67",39.96,9496.4,2020
Kota Banjarbaru,"1023,12",30.22,3091.86,2020
Kab. Tanah Laut,"21015,29",37.91,79662.36,2021
Kab. Kotabaru,"5917,87",37.31,22079.5,2021
Kab. Banjar,"43997,44",38.45,169163.19,2021
Kab. Barito Kuala,"62781,92",35.26,221359.83,2021
Kab. Tapin,"28807,5",39.94,115061.9,2021
Kab. Hulu Sungai Selatan,"22456,89",43.21,97036.85,2021
Kab. Hulu Sungai Tengah,"24187,14",49.92,120730.76,2021
Kab. Hulu Sungai Utara,"16084,07",45.88,73786.78,2021
Kab. Tabalong,"11725,09",44.42,52086.96,2021
Kab. Tanah Bumbu,"9624,49",38.0,36572.77,2021
Kab. Balangan,"4337,98",38.16,16553.34,2021
Kota Banjarmasin,2279,38.97,8881.97,2021
Kota Banjarbaru,"1048,91",31.82,3337.34,2021
Kab. Tanah Laut,"19972,63",36.79,73487.24,2022
Kab. Kotabaru,"4334,48",40.63,17609.79,2022
Kab. Banjar,"37163,25",34.73,129050.5,2022
Kab. Barito Kuala,"57402,57",32.55,186867.79,2022
Kab. Tapin,"25656,31",39.46,101228.04,2022
Kab. Hulu Sungai Selatan,"12657,55",46.19,58463.58,2022
Kab. Hulu Sungai Tengah,"23213,63",47.28,109758.31,2022
Kab. Hulu Sungai Utara,5549,46.18,25622.89,2022
Kab. Tabalong,"12347,55",44.01,54341.6,2022
Kab. Tanah Bumbu,"9848,92",40.03,39429.0,2022
Kab. Balangan,"4313,59",36.05,15548.9,2022
Kota Banjarmasin,"1504,48",32.79,4932.7,2022
Kota Banjarbaru,"944,95",32.58,3078.86,2022
Kab. Tanah Laut,"15062,41",35.08,52839.26,2023
Kab. Kotabaru,"4126,22",40.62,16758.68,2023
Kab. Banjar,"31108,85",36.73,114278.22,2023
Kab. Barito Kuala,"54335,98",34.65,188249.94,2023
Kab. Tapin,"25161,64",42.83,107771.39,2023
Kab. Hulu Sungai Selatan,"18224,8",47.09,85828.32,2023
Kab. Hulu Sungai Tengah,"23153,01",46.86,108484.63,2023
Kab. Hulu Sungai Utara,"14468,01",55.97,80975.24,2023
Kab. Tabalong,"12788,99",46.28,59184.43,2023
Kab. Tanah Bumbu,"9659,49",40.45,39071.33,2023
Kab. Balangan,"4502,8",35.68,16067.58,2023
Kota Banjarmasin,"1140,29",41.1,4687.07,2023
Kota Banjarbaru,"551,33",24.48,1349.64,2023
Kab. Tanah Laut,"25091,89",42.73,107210.87,2024
Kab. Kotabaru,"4077,14",39.89,16264.8,2024
Kab. Banjar,"40628,14",37.79,153537.87,2024
Kab. Barito Kuala,58873,37.36,219962.68,2024
Kab. Tapin,"27639,43",41.46,114594.15,2024
Kab. Hulu Sungai Selatan,"19905,34",47.11,93771.77,2024
Kab. Hulu Sungai Tengah,"24709,56",47.53,117444.61,2024
Kab. Hulu Sungai Utara,"15162,99",52.29,79292.4,2024
Kab. Tabalong,"12856,14",47.29,60795.25,2024
Kab. Tanah Bumbu,"9688,67",40.26,39007.13,2024
Kab. Balangan,"4727,98",36.24,17132.49,2024
Kota Banjarmasin,"1732,53",42.57,7376.23,2024
Kota Banjarbaru,"1019,61",31.17,3177.68,2024
Kab. Tanah Laut,27665,40.92,113212.0,2025
Kab. Kotabaru,5609,40.06,22470.0,2025
Kab. Banjar,43461,38.2,166001.0,2025
Kab. Barito Kuala,91057,35.49,323183.0,2025
Kab. Tapin,25764,42.43,109314.0,2025
Kab. Hulu Sungai Selatan,19619,47.26,92711.0,2025
Kab. Hulu Sungai Tengah,23357,44.51,103960.0,2025
Kab. Hulu Sungai Utara,15241,55.68,84857.0,2025
Kab. Tabalong,10633,47.68,50703.0,2025
Kab. Tanah Bumbu,13823,42.5,58749.0,2025
Kab. Balangan,11011,38.35,42221.0,2025
Kota Banjarmasin,1950,43.87,8554.0,2025
Kota Banjarbaru,1143,29.78,3405.0,2025
Kab. Kotawaringin Barat,"118,64",31.04,368.22,2018
Kab. Kotawaringin Timur,"17648,63",33.05,58328.72,2018
Kab. Kapuas,"79340,64",38.46,305183.68,2018
Kab. Barito Selatan,"1944,62",31.78,6179.34,2018
Kab. Barito Utara,"1839,39",28.65,5270.02,2018
Kab. Sukamara,"649,33",24.05,1561.52,2018
Kab. Lamandau,"3205,9",31.2,10003.59,2018
Kab. Seruyan,"4157,16",21.39,8891.95,2018
Kab. Katingan,"12493,56",30.08,37574.66,2018
Kab. Pulang Pisau,"19145,61",32.53,62279.04,2018
Kab. Gunung Mas,"966,07",22.42,2165.74,2018
Kab. Barito Timur,"4226,15",33.27,14061.89,2018
Kab. Murung Raya,"1832,97",15.78,2891.94,2018
Kota Palangka Raya,"3,02",28.94,8.74,2018
Kab. Kotawaringin Barat,"216,1",29.65,640.75,2019
Kab. Kotawaringin Timur,"20464,61",28.69,58716.81,2019
Kab. Kapuas,"61979,64",32.82,203408.15,2019
Kab. Barito Selatan,"2795,12",28.64,8004.07,2019
Kab. Barito Utara,"3507,77",26.28,9218.55,2019
Kab. Sukamara,"1126,45",28.87,3251.86,2019
Kab. Lamandau,"5141,42",35.56,18285.2,2019
Kab. Seruyan,"4244,87",24.74,10502.91,2019
Kab. Katingan,"16318,21",27.33,44597.55,2019
Kab. Pulang Pisau,19309,30.59,59061.22,2019
Kab. Gunung Mas,"1557,68",24.51,3817.57,2019
Kab. Barito Timur,"5518,73",30.93,17069.07,2019
Kab. Murung Raya,"3936,95",17.52,6897.51,2019
Kota Palangka Raya,"27,96",32.23,90.11,2019
Kab. Kotawaringin Barat,"457,43",33.98,1554.28,2020
Kab. Kotawaringin Timur,"19348,48",30.06,58166.38,2020
Kab. Kapuas,"55171,09",40.5,223423.31,2020
Kab. Barito Selatan,"4276,05",35.48,15171.14,2020
Kab. Barito Utara,"3903,69",16.96,6621.46,2020
Kab. Sukamara,"1370,42",22.14,3033.67,2020
Kab. Lamandau,"4884,5",17.28,8441.46,2020
Kab. Seruyan,"4534,26",21.77,9870.26,2020
Kab. Katingan,"17741,63",27.38,48572.83,2020
Kab. Pulang Pisau,"22059,15",27.37,60366.46,2020
Kab. Gunung Mas,"888,61",22.09,1963.07,2020
Kab. Barito Timur,"5629,47",24.44,13760.31,2020
Kab. Murung Raya,"3010,27",23.28,7007.37,2020
Kab. Kotawaringin Barat,"124,75",38.22,476.77,2021
Kab. Kotawaringin Timur,"15551,73",29.39,45703.62,2021
Kab. Kapuas,"56447,2",31.83,179659.65,2021
Kab. Barito Selatan,"1747,99",26.94,4708.42,2021
Kab. Barito Utara,"2329,64",27.53,6414.3,2021
Kab. Sukamara,"530,17",32.75,1736.31,2021
Kab. Lamandau,"1669,48",40.5,6761.02,2021
Kab. Seruyan,"3082,68",24.57,7574.66,2021
Kab. Katingan,"13163,74",26.06,34309.99,2021
Kab. Pulang Pisau,"24702,14",29.62,73179.37,2021
Kab. Gunung Mas,"369,61",25.37,937.77,2021
Kab. Barito Timur,"5291,88",34.5,18258.66,2021
Kab. Murung Raya,"843,05",16.88,1422.66,2021
Kota Palangka Raya,"15,99",28.99,46.35,2021
Kab. Kotawaringin Barat,"115,2",28.68,330.44,2022
Kab. Kotawaringin Timur,"10222,83",28.53,29160.84,2022
Kab. Kapuas,"46764,35",32.73,153060.04,2022
Kab. Barito Selatan,"2069,58",29.82,6170.98,2022
Kab. Barito Utara,"2831,79",28.58,8092.07,2022
Kab. Sukamara,"577,61",36.21,2091.58,2022
Kab. Lamandau,"371,93",24.05,894.55,2022
Kab. Seruyan,"2730,36",25.26,6897.39,2022
Kab. Katingan,"11098,26",27.93,30994.22,2022
Kab. Pulang Pisau,"25300,4",33.96,85923.18,2022
Kab. Gunung Mas,"226,52",25.11,568.9,2022
Kab. Barito Timur,"4942,69",35.46,17525.59,2022
Kab. Murung Raya,"967,29",22.58,2184.04,2022
Kota Palangka Raya,"7,94",31.4,24.93,2022
Kab. Kotawaringin Barat,"155,53",28.45,442.56,2023
Kab. Kotawaringin Timur,"8735,39",29.88,26098.98,2023
Kab. Kapuas,"44093,39",31.19,137516.69,2023
Kab. Barito Selatan,"1854,2",32.95,6108.75,2023
Kab. Barito Utara,"2522,64",31.8,8021.16,2023
Kab. Sukamara,"440,03",36.55,1608.48,2023
Kab. Lamandau,"250,54",29.17,730.86,2023
Kab. Seruyan,"3115,7",28.14,8767.53,2023
Kab. Katingan,"12010,32",30.22,36292.31,2023
Kab. Pulang Pisau,"22522,39",36.89,83087.65,2023
Kab. Gunung Mas,"203,61",31.41,639.56,2023
Kab. Barito Timur,"5099,04",39.94,20367.18,2023
Kab. Murung Raya,"561,53",18.63,1045.85,2023
Kota Palangka Raya,"15,99",33.45,53.49,2023
Kab. Kotawaringin Barat,"188,81",33.04,623.83,2024
Kab. Kotawaringin Timur,"9162,54",32.46,29745.75,2024
Kab. Kapuas,"48720,01",30.67,149428.47,2024
Kab. Barito Selatan,"2000,8",35.49,7101.23,2024
Kab. Barito Utara,"3150,63",23.79,7494.46,2024
Kab. Sukamara,"637,84",28.55,1820.74,2024
Kab. Lamandau,"288,41",27.61,796.39,2024
Kab. Seruyan,"2775,24",30.08,8348.74,2024
Kab. Katingan,"12049,32",33.26,40081.48,2024
Kab. Pulang Pisau,"25931,17",38.7,100360.63,2024
Kab. Gunung Mas,"112,72",27.65,311.67,2024
Kab. Barito Timur,"5497,95",34.9,19185.26,2024
Kab. Murung Raya,"500,53",16.94,847.69,2024
Kota Palangka Raya,"0,15",31.9,0.48,2024
Kab. Kotawaringin Barat,281,38.06,1068.0,2025
Kab. Kotawaringin Timur,9310,33.51,31196.0,2025
Kab. Kapuas,34740,33.16,115188.0,2025
Kab. Barito Selatan,1858,31.27,5810.0,2025
Kab. Barito Utara,4648,25.69,11940.0,2025
Kab. Sukamara,292,38.03,1109.0,2025
Kab. Lamandau,362,29.76,1076.0,2025
Kab. Seruyan,5015,27.6,13844.0,2025
Kab. Katingan,12772,32.01,40889.0,2025
Kab. Pulang Pisau,21166,40.87,86514.0,2025
Kab. Gunung Mas,70,20.51,143.0,2025
Kab. Barito Timur,6369,38.17,24310.0,2025
Kab. Murung Raya,268,12.54,337.0,2025
Kota Palangka Raya,1,37.5,4.0,2025
Kab. Paser,"8415,02",38.13,32083.72,2018
Kab. Kutai Barat,"395,83",27.53,1089.61,2018
Kab. Kutai Kartanegara,31084,46.34,144048.49,2018
Kab. Kutai Timur,"3587,82",35.82,12850.97,2018
Kab. Berau,"6401,38",30.34,19422.59,2018
Kab. Penajam Paser Utara,"11084,82",34.32,38039.29,2018
Kab. Mahakam Ulu,"546,64",20.5,1120.42,2018
Kota Samarinda,"3388,65",41.12,13933.69,2018
Kota Bontang,57,32.47,185.1,2018
Kab. Paser,"13012,74",37.08,48251.88,2019
Kab. Kutai Barat,"292,91",32.87,962.88,2019
Kab. Kutai Kartanegara,"31358,2",38.65,121202.53,2019
Kab. Kutai Timur,"4541,74",35.07,15926.08,2019
Kab. Berau,"4771,22",35.08,16739.31,2019
Kab. Penajam Paser Utara,"13138,93",31.68,41622.32,2019
Kab. Mahakam Ulu,"470,25",32.35,1521.06,2019
Kota Balikpapan,"12,52",29.77,37.27,2019
Kota Samarinda,"2021,86",35.67,7212.12,2019
Kota Bontang,"87,38",39.25,342.92,2019
Kab. Paser,"12825,6",40.83,52365.75,2020
Kab. Kutai Barat,"510,78",23.48,1199.22,2020
Kab. Kutai Kartanegara,"31952,96",34.72,110940.44,2020
Kab. Kutai Timur,"4978,75",34.3,17078.56,2020
Kab. Berau,"6461,68",36.14,23352.73,2020
Kab. Penajam Paser Utara,"13924,41",33.77,47018.03,2020
Kab. Mahakam Ulu,"464,44",23.29,1081.75,2020
Kota Balikpapan,"118,31",35.46,419.57,2020
Kota Samarinda,"2250,75",38.44,8651.61,2020
Kota Bontang,"80,76",40.47,326.86,2020
Kab. Paser,"13137,77",39.56,51972.06,2021
Kab. Kutai Barat,"527,89",38.29,2021.46,2021
Kab. Kutai Kartanegara,"27635,02",37.79,104441.83,2021
Kab. Kutai Timur,"3660,48",35.84,13119.61,2021
Kab. Berau,"5756,54",38.85,22364.87,2021
Kab. Penajam Paser Utara,"13501,6",31.2,42130.12,2021
Kab. Mahakam Ulu,"232,22",40.14,932.09,2021
Kota Balikpapan,"102,67",34.49,354.13,2021
Kota Samarinda,"1632,33",42.82,6988.91,2021
Kota Bontang,"82,94",42.55,352.88,2021
Kab. Paser,"11663,91",41.33,48202.66,2022
Kab. Kutai Barat,"477,55",26.9,1284.77,2022
Kab. Kutai Kartanegara,"27981,31",37.53,105025.7,2022
Kab. Kutai Timur,"3415,9",35.35,12076.25,2022
Kab. Berau,"6229,84",33.93,21135.98,2022
Kab. Penajam Paser Utara,"13531,22",33.38,45160.69,2022
Kab. Mahakam Ulu,"201,45",24.29,489.42,2022
Kota Balikpapan,"86,93",34.75,302.1,2022
Kota Samarinda,"1312,78",41.84,5492.34,2022
Kota Bontang,"69,12",36.95,255.43,2022
Kab. Paser,"6584,52",43.45,28608.94,2023
Kab. Kutai Barat,"426,23",30.95,1319.37,2023
Kab. Kutai Kartanegara,"26547,34",43.36,115103.82,2023
Kab. Kutai Timur,"3505,89",29.0,10167.79,2023
