kabupaten,luas_panen,produktivitas,produksi,tahun
Kota Tangerang,"610,11",56.14,3424.91,2022
Kota Cilegon,"1719,38",52.93,9101.37,2022
Kota Serang,"10856,62",51.57,55987.47,2022
Kab. Pandeglang,"87157,84",55.19,481001.54,2023
Kab. Lebak,"78300,16",50.65,396558.51,2023
Kab. Tangerang,"55304,56",52.45,290083.09,2023
Kab. Serang,"77724,63",57.78,449067.08,2023
Kota Tangerang,"524,62",62.19,3262.85,2023
Kota Cilegon,"1686,96",53.25,8982.9,2023
Kota Serang,"10500,96",54.78,57527.32,2023
Kab. Pandeglang,"77466,21",53.52,414576.37,2024
Kab. Lebak,"74016,18",48.23,357013.22,2024
Kab. Tangerang,"58366,18",51.17,298677.72,2024
Kab. Serang,"75987,48",53.84,409149.71,2024
Kota Tangerang,"435,58",62.17,2708.06,2024
Kota Cilegon,"1809,05",53.07,9599.79,2024
Kota Serang,"11010,11",53.49,58898.59,2024
Kab. Pandeglang,105490,52.42,552983.0,2025
Kab. Lebak,88819,47.62,422943.0,2025
Kab. Tangerang,58298,52.8,307816.0,2025
Kab. Serang,79503,52.8,419792.0,2025
Kota Tangerang,164,62.36,1025.0,2025
Kota Cilegon,1664,50.57,8413.0,2025
Kota Serang,11482,53.17,61045.0,2025
Kab. Bengkulu Selatan,12.53,44.0,55.559,2018
Kab. Rejang Lebong,5.451,45.0,24.418,2018
Kab. Bengkulu Utara,5.224,40.0,20.785,2018
Kab. Kaur,8.246,40.0,32.764,2018
Kab. Seluma,13.316,39.0,52.245,2018
Kab. Mukomuko,5.571,56.0,31.469,2018
Kab. Lebong,8.456,49.0,41.113,2018
Kab. Kepahiang,3.94,45.0,17.611,2018
Kab. Bengkulu Tengah,2.125,37.0,7.941,2018
Kota Bengkulu,1.033,47.0,4.905,2018
Kab. Bengkulu Selatan,13.748,42.0,57.159,2019
Kab. Rejang Lebong,5.568,50.0,28.018,2019
Kab. Bengkulu Utara,5.897,44.0,25.992,2019
Kab. Kaur,6.572,40.0,26.004,2019
Kab. Seluma,11.85,38.0,44.508,2019
Kab. Mukomuko,4.408,55.0,24.21,2019
Kab. Lebong,9.444,62.0,58.244,2019
Kab. Kepahiang,3.937,50.0,19.856,2019
Kab. Bengkulu Tengah,2.025,37.0,7.525,2019
Kota Bengkulu,957.0,52.0,4.957,2019
Kab. Bengkulu Selatan,13.662,44.0,59.492,2020
Kab. Rejang Lebong,5.182,53.0,27.428,2020
Kab. Bengkulu Utara,5.111,46.0,23.367,2020
Kab. Kaur,7.525,40.0,30.209,2020
Kab. Seluma,11.629,38.0,43.758,2020
Kab. Mukomuko,6.323,59.0,37.105,2020
Kab. Lebong,8.222,51.0,41.898,2020
Kab. Kepahiang,3.479,47.0,16.27,2020
Kab. Bengkulu Tengah,1.787,40.0,7.061,2020
Kota Bengkulu,1.217,51.0,6.246,2020
Kab. Bengkulu Selatan,12.085,48.0,58.495,2021
Kab. Rejang Lebong,5.407,52.0,28.068,2021
Kab. Bengkulu Utara,3.649,43.0,15.701,2021
Kab. Kaur,5.426,43.0,23.38,2021
Kab. Seluma,11.382,43.0,49.274,2021
Kab. Mukomuko,3.753,56.0,20.945,2021
